,name,loss,acc
0,race.ethnicity,0.7308711226793935,0.14571657325860687
1,high.educ_group,0.3306328412339246,0.0008006405124099279
2,married,0.3389747931157426,0.11529223378702963
3,income_group,0.4156136432583567,0.09047237790232186
4,female,0.07013362154567404,0.7069655724579663
5,BMI_norm,0.8587553636659327,15.098298951661329
6,age_norm,5.225455755229183,292.29826361088874
7,vol_norm,0.44741711337820256,0.4489394738447008
8,weight_norm,0.19101914832647368,103.89696131905525
9,height_norm,1.6858772173989192,16.75739966973579
10,nihtbx_fluidcomp_uncorrected_norm,1.0852345939251402,0.8139931378696708
11,nihtbx_cryst_uncorrected_norm,1.142689346789932,0.7033238895804144
12,nihtbx_pattern_uncorrected_norm,1.0810670020391313,0.9729166145416333
13,nihtbx_picture_uncorrected_norm,0.9212597617156225,0.8451440840172137
14,nihtbx_list_uncorrected_norm,1.107950325103833,0.8773216815640013
15,nihtbx_flanker_uncorrected_norm,1.260207677861039,1.0369184019090272
16,nihtbx_picvocab_uncorrected_norm,1.6154747039819355,1.0438705456552742
17,nihtbx_cardsort_uncorrected_norm,1.504989049833617,1.2935783196869997
18,nihtbx_totalcomp_uncorrected_norm,1.0834464446557246,0.6704880994639462
19,nihtbx_reading_uncorrected_norm,1.0443098619520617,0.7674762368488541
