,colname,mse,cropped64,down64,cropped128,down128,org256
0,BMI_norm,0.9308823480557943,0.2479660974873649,0.2434747114097528,0.30202081587144713,0.22308344722653126,0.9308872879553642
1,age_norm,1.0055562306557368,0.8877648994195356,1.0735727253677942,0.9532485363290631,0.7864308048000901,1.01178257058772
2,vol_norm,0.9863136160510494,0.12701527188547712,0.07340916678655425,0.12871172181886134,0.05314143282399357,0.9883676472427942
3,weight_norm,0.9780249726856854,0.21151999724779824,0.17793776036454162,0.2072691844882156,0.1555207422774157,0.9780333055506906
4,height_norm,1.0848212366706498,0.6574586817891813,0.6466730024644716,0.5915617259432546,0.5839276890262209,1.0857240479883907
5,nihtbx_fluidcomp_uncorrected_norm,0.9921993391908458,1.0184678993194556,1.0252954316578262,1.006609389073759,1.008544921875,0.9928634313700959
6,nihtbx_cryst_uncorrected_norm,1.0295354134138357,1.0596087221339572,1.0459909920123598,1.0259037307971377,1.0653898118494796,1.029553623367444
7,nihtbx_pattern_uncorrected_norm,0.9698060929348349,0.993947110813651,1.0318097251238492,0.9740881572445456,0.999553451354834,0.9723181865805144
8,nihtbx_picture_uncorrected_norm,0.9168661496593039,0.9333013285628504,0.9595227940164632,1.028651925446607,0.9528190912104684,0.9171376163430744
9,nihtbx_list_uncorrected_norm,1.0487354913496636,1.1073074279736288,1.0912189712707665,1.0726210851493696,1.0599107215459869,1.0488904795711569
10,nihtbx_flanker_uncorrected_norm,1.047287349078258,1.060265595288731,1.0768675487264812,1.056645707190753,1.067860538430745,1.0478273243594876
11,nihtbx_picvocab_uncorrected_norm,1.1178935082882222,1.1379484446932546,1.168967693686199,1.1443850392814252,1.1582032227344377,1.1179171853107486
12,nihtbx_cardsort_uncorrected_norm,0.9341045851254999,0.9656676513085468,0.9847102291207966,0.9361793145453864,0.9462421499699759,0.9341886595213672
13,nihtbx_totalcomp_uncorrected_norm,0.998114596706339,1.0377467990017013,1.0378727786917037,1.002986568942654,1.078624813913631,0.9985533348553844
14,nihtbx_reading_uncorrected_norm,0.9644964438388782,1.0123705409640211,0.9722128288568356,0.9604400317128704,1.0111745646517214,0.9645200535428344
