,colname,mse,simplecnnnormal_auto,simplecnnnormal,simplecnnsmall,densenet,densenet_auto
0,BMI_norm,0.9308823480557943,0.2238244697320356,0.27316157124918683,0.2434747114097528,0.21439981575103834,0.2055483986798814
1,age_norm,1.0055562306557368,0.7989334827236789,0.8399637678893115,1.0735727253677942,0.8565054191790933,0.7795305580401821
2,vol_norm,0.9863136160510494,0.047935116281501766,0.07307092011499823,0.07340916678655425,0.061479151582985135,0.0963470177997867
3,weight_norm,0.9780249726856854,0.15826655464996994,0.14155408799696007,0.17793776036454162,0.1263394382498186,0.13200114534987364
4,height_norm,1.0848212366706498,0.5324855098922888,0.5492438384301191,0.6466730024644716,0.5231040300990792,0.5890880184616443
5,nihtbx_fluidcomp_uncorrected_norm,0.9921993391908458,1.0174624074259409,1.000367970157376,1.0252954316578262,0.9950877694342974,1.002618012378653
6,nihtbx_cryst_uncorrected_norm,1.0295354134138357,1.0485812478107486,1.0525246368970176,1.0459909920123598,1.0325526045836668,1.0269937629791333
7,nihtbx_pattern_uncorrected_norm,0.9698060929348349,0.9826948472840772,1.0069179366931045,1.0318097251238492,0.9785981128652922,0.9884635247260308
8,nihtbx_picture_uncorrected_norm,0.9168661496593039,0.9208171224479584,0.9264704732536028,0.9595227940164632,0.9212390420148618,0.9354350668034428
9,nihtbx_list_uncorrected_norm,1.0487354913496636,1.0574029536128904,1.066985522011359,1.0912189712707665,1.0567795056357585,1.0604904822295336
10,nihtbx_flanker_uncorrected_norm,1.047287349078258,1.05137166373724,1.0500143278685448,1.0768675487264812,1.0530388177729684,1.0516354489841873
11,nihtbx_picvocab_uncorrected_norm,1.1178935082882222,1.1303406006054844,1.1367677149532125,1.168967693686199,1.1254282723053444,1.1349398855021515
12,nihtbx_cardsort_uncorrected_norm,0.9341045851254999,0.9406267201261008,0.978328365817654,0.9847102291207966,0.93441911732511,0.9326827673075959
13,nihtbx_totalcomp_uncorrected_norm,0.998114596706339,1.0210152496997598,1.0092433321657326,1.0378727786917037,0.9946563696269516,1.0093862199134307
14,nihtbx_reading_uncorrected_norm,0.9644964438388782,0.977796201805194,0.9873699741042834,0.9722128288568356,0.962766599998749,0.9704237999774821
