,colname,mse,cross,cross_densenet1,densenet_hierch,simplenormal_hierch,cross_densenet2,desnet_t1t2,simplenormal_t1t2
0,BMI_norm,0.9308823480557943,0.20920107668165785,0.7679302133112741,0.22563490245321255,0.3718282487317979,0.2577895079735664,0.21439981575103834,0.27316157124918683
1,age_norm,1.0055562306557368,0.8720577047575561,2.19905279692504,0.921705137547538,0.8956781636246497,0.9748955414331464,0.8565054191790933,0.8399637678893115
2,vol_norm,0.9863136160510494,0.050491052021304536,1.4953483294448058,0.035456386349313834,0.09171607305375552,0.26767190119282924,0.061479151582985135,0.07307092011499823
3,weight_norm,0.9780249726856854,0.1806051652845714,0.19523317628712344,0.1796137349332591,0.217069260877452,0.1893481215636572,0.1263394382498186,0.14155408799696007
4,height_norm,1.0848212366706498,0.8274859145128602,3.2019035149995,0.5485768497610588,0.6628797667039882,0.6716724942453963,0.5231040300990792,0.5492438384301191
5,nihtbx_fluidcomp_uncorrected_norm,0.9921993391908458,1.0363004270603984,0.9963232304593675,0.9962456293159528,0.9910583740429844,1.021274832365893,0.9950877694342974,1.000367970157376
6,nihtbx_cryst_uncorrected_norm,1.0295354134138357,1.0532673208879604,1.2880801711681846,1.0266627364391514,1.0324840927429444,1.053926832872548,1.0325526045836668,1.0525246368970176
7,nihtbx_pattern_uncorrected_norm,0.9698060929348349,0.987933706340072,1.016442548570106,0.9690876724817354,0.9890366394678244,0.9864370988978683,0.9785981128652922,1.0069179366931045
8,nihtbx_picture_uncorrected_norm,0.9168661496593039,0.9244615418897618,0.9816963922700659,0.92263175774995,0.9166514852507006,0.9210575491643316,0.9212390420148618,0.9264704732536028
9,nihtbx_list_uncorrected_norm,1.0487354913496636,1.0886337976631304,1.0499406361026322,1.0465010680419335,1.0597090954013209,1.086652720613991,1.0567795056357585,1.066985522011359
10,nihtbx_flanker_uncorrected_norm,1.047287349078258,1.0691803442754204,1.3042243365004504,1.0526694793334668,1.0536223900995796,1.048919604433547,1.0530388177729684,1.0500143278685448
11,nihtbx_picvocab_uncorrected_norm,1.1178935082882222,1.1322027348441253,1.3037664506605284,1.1145552183934648,1.1183687184122295,1.140076318867594,1.1254282723053444,1.1367677149532125
12,nihtbx_cardsort_uncorrected_norm,0.9341045851254999,0.9387458208754504,0.9754620102331866,0.936736303104984,0.9350349420161128,0.9650967844588172,0.93441911732511,0.978328365817654
13,nihtbx_totalcomp_uncorrected_norm,0.998114596706339,0.9945874668484788,1.0119446142851782,0.9985931127714672,0.9964035681670336,1.0015598416232987,0.9946563696269516,1.0092433321657326
14,nihtbx_reading_uncorrected_norm,0.9644964438388782,0.9963840212795236,1.2604809433484288,0.9637095418522318,0.9680572583066454,0.970995057764962,0.962766599998749,0.9873699741042834
