,colname,mse,runAllImages64_DenseNet_T1T2_site16_norm_multitask_test.csvUnnamed: 0,runAllImages64_DenseNet_T1T2_site16_norm_multitask_test.csvname,runAllImages64_DenseNet_T1T2_site16_norm_multitask_test.csvbest_loss_test,runAllImages64_DenseNet_T1T2_site16_norm_multitask_test.csvbest_acc_test,runAllImages64_DenseNet_T1T2_site16_norm_multitask_test.csvbest_loss_val,runAllImages64_DenseNet_T1T2_site16_norm_multitask_test.csvbest_acc_val
0,BMI_norm,1.5187606650053338,5,BMI_norm,1.0861257334224512,19.09584120453381,0.7880688651663358,13.855521780545594
1,age_norm,0.9678111705075263,6,age_norm,1.0889950111264088,60.915531346055324,1.2122417512487194,67.80963434938525
2,vol_norm,1.0598796352507578,7,vol_norm,0.6867739567991162,0.6891108028224258,0.7483787536621094,0.7509251578909452
3,weight_norm,1.1756211419089737,8,weight_norm,1.1914789168561093,648.055455942623,0.828409351286341,450.57898949795083
4,height_norm,2.636498905626059,9,height_norm,0.8484064946409131,8.433050437051742,0.7925403157218558,7.877748583183914
5,nihtbx_fluidcomp_uncorrected_norm,1.1857478389358365,10,nihtbx_fluidcomp_uncorrected_norm,0.7653146962650487,0.5740335183065446,0.8878882361240075,0.6659712244252689
6,nihtbx_cryst_uncorrected_norm,1.2875641374323443,11,nihtbx_cryst_uncorrected_norm,1.0079860374575755,0.6204142335985527,0.9433579366715228,0.5806357586970095
7,nihtbx_pattern_uncorrected_norm,0.8963927589653284,12,nihtbx_pattern_uncorrected_norm,0.7208730979043929,0.6487564962418353,0.8305522105732902,0.7474631637823387
8,nihtbx_picture_uncorrected_norm,1.0452690926460457,13,nihtbx_picture_uncorrected_norm,0.7801814470134798,0.7157218808033428,1.029951877281314,0.9448562371926228
9,nihtbx_list_uncorrected_norm,1.077024847132264,14,nihtbx_list_uncorrected_norm,0.8003146687491995,0.6337228993900487,0.7317918871269852,0.5794635835241099
10,nihtbx_flanker_uncorrected_norm,1.5291858704618657,15,nihtbx_flanker_uncorrected_norm,0.787315306116323,0.6478150789854956,0.9456478806792712,0.7780935568887679
11,nihtbx_picvocab_uncorrected_norm,1.1390133992511404,16,nihtbx_picvocab_uncorrected_norm,1.0875990820712729,0.702773172347272,0.9865204232638,0.6374593015576973
12,nihtbx_cardsort_uncorrected_norm,1.6098305882595518,17,nihtbx_cardsort_uncorrected_norm,0.7392163511182441,0.6353760390985207,0.8480425975361808,0.7289151051005379
13,nihtbx_totalcomp_uncorrected_norm,1.3705123209295624,18,nihtbx_totalcomp_uncorrected_norm,0.8533202624711834,0.5280752338346888,0.8071880027896068,0.499526352178855
14,nihtbx_reading_uncorrected_norm,1.2994581126688942,19,nihtbx_reading_uncorrected_norm,0.8011556531562181,0.5887793243908491,0.813331416395844,0.5977274159916112
15,race.ethnicity,0.4878048780487805,2,race.ethnicity,0.10610345934258132,0.7786885245901639,0.08205162110875865,0.7868852459016393
16,married,0.4878048780487805,4,married,0.07873986197299644,0.860655737704918,0.06922680432679224,0.819672131147541
17,female,0.6341463414634146,1,female,0.09050416164710874,0.5409836065573771,0.08598217416982183,0.4918032786885246
18,high.educ_group,0.8292682926829268,0,high.educ_group,0.04861456839764704,0.9262295081967212,0.05960892849281186,0.8360655737704918
19,income_group,0.21951219512195122,3,income_group,0.2482658605106541,0.2459016393442623,0.21705033349209146,0.3606557377049181
